iso3,country.name,un.code,UNCTAD.list,income_HC,dac.code,M49_1,M49_2
TLS,Timor-Leste,626,Timor-Leste,L_HHC,765,Asia,South-eastern Asia
TLS,Timor-Leste,626,Timor-Leste,L_HHC,765,Asia,South-eastern Asia
TON,Tonga,776,Tonga,L_HHC,870,Oceania,Polynesia
TTO,Trinidad and Tobago,780,Trinidad and Tobago,H_NHC,NA,Americas,Caribbean
TUN,Tunisia,788,Tunisia,L_HHC,139,Africa,Northern Africa
TUR,Turkey,792,Turkey,L_HHC,55,Asia,Western Asia
TUR,Turkey,792,Turkey,L_HHC,55,Asia,Western Asia
TUV,Tuvalu,798,Tuvalu,L_LHC,872,Oceania,Polynesia
TWN,"China, Taiwan Province of",158,"China, Taiwan Province of",H_LHC,732,Asia,Eastern Asia
TZA,United Republic of Tanzania,834,United Republic of Tanzania,L_LHC,282,Africa,Eastern Africa
UGA,Uganda,800,Uganda,L_LHC,285,Africa,Eastern Africa
UKR,Ukraine,804,Ukraine,L_NHC,85,Europe,Eastern Europe
URY,Uruguay,858,Uruguay,H_LHC,NA,Americas,South America
USA,United States of America,842,United States of America,H_LHC,302,Americas,Northern America
UZB,Uzbekistan,860,Uzbekistan,L_LHC,617,Asia,Central Asia
VCT,Saint Vincent and the Grenadines,670,Saint Vincent and the Grenadines,L_HHC,384,Americas,Caribbean
VEN,Venezuela (Bolivarian Rep. of),862,Venezuela (Bolivarian Rep. of),L_LHC,463,Americas,South America
VGB,British Virgin Islands,92,British Virgin Islands,H_HHC,NA,Americas,Caribbean
VNM,Viet Nam,704,Viet Nam,L_HHC,769,Asia,South-eastern Asia
VUT,Vanuatu,548,Vanuatu,L_HHC,854,Oceania,Melanesia
WSM,Samoa,882,Samoa,L_HHC,880,Oceania,Polynesia
YEM,Yemen,887,Yemen,L_HHC,580,Asia,Western Asia
ZAF,South Africa,710,South Africa,L_LHC,218,Africa,Southern Africa
ZMB,Zambia,894,Zambia,L_LHC,288,Africa,Eastern Africa
ZWE,Zimbabwe,716,Zimbabwe,L_LHC,265,Africa,Eastern Africa
